"TM Dilshan","stumped",1
"V Shankar","lbw",1
"SK Raina","run out",12
"R McLaren","run out",2
"SM Pollock","bowled",4
"KB Arun Karthik","caught",2
"DJ Hussey","stumped",1
"SC Ganguly","caught",37
"Kuldeep Yadav","lbw",1
"R Ashwin","run out",3
"M Kartik","run out",2
"S Nadeem","bowled",3
"DJG Sammy","run out",1
"AC Gilchrist","stumped",3
"Mohammad Hafeez","run out",1
"MK Pandey","stumped",1
"JD Ryder","run out",3
"UT Yadav","run out",2
"RE van der Merwe","bowled",2
"SK Trivedi","run out",1
"B Kumar","caught",11
"LRPL Taylor","caught and bowled",2
"CM Gautam","lbw",1
"L Balaji","bowled",1
"MK Tiwary","run out",8
"DT Christian","stumped",1
"JC Archer","lbw",1
"BAW Mendis","lbw",1
"AM Nayar","caught",21
"P Kumar","run out",6
"SW Billings","run out",1
"OA Shah","caught",5
"PJ Cummins","lbw",1
"KL Rahul","run out",4
"DJG Sammy","bowled",1
"SB Joshi","caught",1
"V Kohli","lbw",7
"SO Hetmyer","run out",1
"JC Buttler","caught and bowled",1
"Washington Sundar","caught",9
"GC Smith","caught",20
"Mandeep Singh","caught and bowled",1
"SP Narine","caught",34
"RV Uthappa","caught and bowled",5
"C de Grandhomme","bowled",3
"OA Shah","run out",3
"Rashid Khan","hit wicket",1
"DB Ravi Teja","bowled",5
"M Rawat","caught and bowled",1
"S Sohal","lbw",2
"DPMD Jayawardene","bowled",6
"MA Starc","run out",1
"VR Aaron","bowled",1
"JR Hopes","lbw",2
"R Dravid","run out",6
"SR Tendulkar","retired hurt",2
"Abhishek Sharma","run out",1
"AP Tare","run out",2
"S Badree","caught",1
"UBT Chand","bowled",6
"RS Bopara","lbw",3
"CK Kapugedera","caught",3
"MM Sharma","bowled",3
"V Kohli","caught and bowled",3
"L Ronchi","caught",2
"IR Jaggi","caught",4
"NM Coulter-Nile","caught",5
"MM Ali","run out",1
"AA Jhunjhunwala","bowled",2
"KH Pandya","bowled",2
"JR Hopes","run out",2
"HH Pandya","bowled",4
"I Sharma","bowled",2
"KH Pandya","lbw",1
"DS Kulkarni","lbw",1
"Rashid Khan","caught",9
"MJ McClenaghan","caught",6
"RK Bhui","caught",2
"HH Gibbs","stumped",2
"RK Singh","caught",6
"NV Ojha","caught and bowled",1
"HV Patel","run out",1
"YS Chahal","run out",1
"UBT Chand","stumped",1
"Harbhajan Singh","retired hurt",2
"AS Raut","stumped",1
"MM Patel","bowled",1
"SN Thakur","caught",3
"SA Yadav","run out",3
"KM Jadhav","caught and bowled",2
"RA Tripathi","lbw",1
"B Akhil","bowled",1
"K Goel","run out",3
"Ishan Kishan","lbw",1
"AD Mascarenhas","run out",3
"AG Paunikar","bowled",1
"SK Warne","stumped",3
"P Kumar","caught and bowled",1
"J Syed Mohammad","caught",2
"BJ Rohrer","caught",3
"MG Johnson","caught",6
"M Kartik","caught",2
"NV Ojha","bowled",9
"AB Dinda","caught",4
"VH Zol","bowled",1
"Joginder Sharma","bowled",1
"Ankit Sharma","caught",7
"V Shankar","caught",19
"HH Pandya","lbw",3
"RG Sharma","run out",20
"Shubman Gill","run out",3
"JP Duminy","run out",4
"S Kaushik","caught",1
"Vishnu Vinod","caught",1
"DH Yagnik","caught and bowled",2
"BB McCullum","run out",7
"SA Asnodkar","hit wicket",1
"STR Binny","run out",4
"S Sohal","run out",1
"LA Pomersbach","run out",1
"Bipul Sharma","caught",4
"Mohammad Asif","caught",1
"Imran Tahir","caught",2
"KD Karthik","run out",17
"AM Rahane","bowled",18
"PA Patel","run out",11
"S Badrinath","caught and bowled",3
"Shivam Mavi","stumped",1
"YK Pathan","run out",12
"CJ Ferguson","run out",1
"MEK Hussey","stumped",1
"LMP Simmons","lbw",3
"KP Pietersen","caught",12
"KK Cooper","caught",7
"KL Rahul","bowled",16
"N Rana","lbw",4
"BMAJ Mendis","caught and bowled",1
"DJ Hussey","lbw",1
"M Manhas","caught and bowled",1
"CJ Anderson","stumped",3
"K Goel","caught",7
"G Gambhir","stumped",2
"JC Archer","run out",1
"MD Mishra","caught",7
"M Muralitharan","bowled",1
"Mohammed Shami","run out",1
"N Rana","bowled",4
"PV Tambe","caught",1
"HH Gibbs","bowled",7
"CR Brathwaite","caught",9
"D du Preez","caught",1
"LMP Simmons","caught and bowled",1
"BB Samantray","bowled",1
"AN Ahmed","bowled",1
"ER Dwivedi","caught",2
"N Pooran","caught",14
"S Sohal","caught",12
"AN Ghosh","caught",2
"UT Yadav","caught",5
"AB Barath","caught",1
"IK Pathan","run out",9
"KS Williamson","lbw",2
"C de Grandhomme","run out",1
"MK Lomror","caught",5
"RN ten Doeschate","bowled",1
"KP Appanna","run out",1
"M Morkel","caught",6
"MN van Wyk","caught",2
"JD Unadkat","bowled",2
"RV Gomez","run out",2
"PP Chawla","lbw",2
"STR Binny","caught",27
"SS Iyer","caught and bowled",2
"KAJ Roach","bowled",1
"Shoaib Ahmed","run out",1
"DT Christian","caught",13
"MS Wade","lbw",1
"LA Pomersbach","bowled",4
"R Parag","caught",7
"KC Sangakkara","caught",40
"PP Ojha","caught",5
"JP Duminy","caught",30
"RV Uthappa","caught",115
"KMA Paul","caught",1
"AR Patel","caught",30
"Sunny Gupta","stumped",1
"RJ Harris","caught",9
"MD Mishra","lbw",3
"DPMD Jayawardene","caught",38
"MK Pandey","caught and bowled",5
"MM Sharma","run out",2
"AG Murtaza","stumped",1
"BE Hendricks","bowled",1
"CJ Anderson","lbw",1
"Harbhajan Singh","caught",33
"R Parag","bowled",2
"DL Chahar","stumped",2
"CJ Ferguson","stumped",1
"Mohammed Shami","stumped",1
"AC Blizzard","caught",6
"BJ Hodge","caught",23
"DPMD Jayawardene","run out",8
"JP Faulkner","caught and bowled",1
"AD Mascarenhas","bowled",3
"DJ Bravo","caught",42
"MK Tiwary","lbw",7
"DR Smith","bowled",18
"GJ Bailey","caught",16
"Yashpal Singh","caught",4
"Kamran Khan","caught",1
"K Rabada","run out",1
"DJ Hooda","run out",4
"R Ashwin","lbw",1
"Anirudh Singh","bowled",1
"SS Tiwary","run out",2
"YBK Jaiswal","bowled",1
"A Flintoff","caught",1
"PD Collingwood","lbw",1
"Z Khan","bowled",5
"LH Ferguson","run out",1
"Umar Gul","run out",1
"AA Bilakhia","lbw",2
"G Gambhir","caught",80
"A Symonds","bowled",7
"RS Bopara","caught",13
"SD Lad","bowled",1
"BCJ Cutting","run out",1
"SM Katich","bowled",2
"C de Grandhomme","caught",9
"LA Carseldine","run out",1
"AB de Villiers","caught and bowled",2
"SE Marsh","run out",5
"H Klaasen","bowled",1
"SR Watson","stumped",4
"SM Pollock","caught",4
"BA Stokes","bowled",13
"CJ Ferguson","caught and bowled",2
"Yuvraj Singh","run out",4
"MM Patel","run out",1
"RS Bopara","run out",2
"SW Billings","bowled",3
"RP Singh","run out",4
"P Simran Singh","caught",2
"PP Shaw","caught",24
"DJ Hooda","hit wicket",1
"AF Milne","caught",1
"GC Smith","bowled",2
"Q de Kock","run out",1
"Mujeeb Ur Rahman","bowled",1
"Younis Khan","bowled",1
"Niraj Patel","caught",2
"Yuvraj Singh","caught",84
"MEK Hussey","run out",5
"HH Pandya","caught",34
"Mohammad Nabi","caught",6
"HM Amla","run out",1
"FY Fazal","caught",4
"AB Agarkar","caught",6
"TL Suman","run out",1
"BCJ Cutting","bowled",2
"L Balaji","run out",1
"DS Kulkarni","bowled",3
"MJ McClenaghan","lbw",1
"TG Southee","caught",4
"WP Saha","stumped",5
"SD Chitnis","run out",1
"JM Bairstow","caught",10
"DT Christian","lbw",4
"P Kumar","bowled",15
"AA Chavan","caught",1
"CA Pujara","bowled",4
"BR Dunk","bowled",1
"JDP Oram","caught and bowled",1
"IS Sodhi","caught",2
"Shakib Al Hasan","bowled",9
"MK Tiwary","bowled",11
"P Negi","caught",15
"MK Pandey","lbw",6
"DPMD Jayawardene","lbw",6
"MJ Lumb","caught",6
"A Nehra","caught",5
"AS Rajpoot","bowled",2
"HH Pandya","stumped",1
"N Saini","caught and bowled",2
"SR Watson","bowled",35
"MC Henriques","run out",2
"AS Raut","lbw",1
"P Negi","bowled",4
"LMP Simmons","caught",16
"LR Shukla","bowled",6
"ML Hayden","caught",17
"M Muralitharan","lbw",1
"B Laughlin","caught",1
"Y Venugopal Rao","bowled",8
"MDKJ Perera","caught",1
"DA Warner","caught",77
"RA Tripathi","bowled",8
"CA Lynn","caught",21
"R Sathish","run out",2
"RR Bhatkal","run out",1
"S Anirudha","stumped",1
"RJ Quiney","bowled",1
"NA Saini","caught",1
"JDP Oram","caught",5
"DJ Hussey","bowled",9
"N Rana","retired hurt",1
"R Vinay Kumar","stumped",1
"AB de Villiers","stumped",6
"S Badrinath","caught",31
"KS Williamson","run out",2
"AM Nayar","run out",9
"DA Warner","hit wicket",1
"F du Plessis","caught and bowled",3
"Azhar Mahmood","caught and bowled",1
"AD Mathews","lbw",2
"CR Woakes","stumped",1
"VVS Laxman","bowled",2
"N Saini","caught",5
"NS Naik","lbw",1
"HV Patel","bowled",3
"DW Steyn","bowled",8
"M Markande","lbw",1
"JDP Oram","bowled",2
"MS Bisla","run out",4
"N Saini","bowled",1
"MJ McClenaghan","run out",1
"S Badrinath","run out",5
"M Manhas","caught",14
"SP Narine","lbw",1
"NL McCullum","run out",2
"V Kohli","stumped",3
"RA Tripathi","caught",24
"S Lamichhane","bowled",1
"S Aravind","lbw",1
"F du Plessis","stumped",6
"M de Lange","caught",1
"KC Cariappa","bowled",3
"SK Trivedi","caught",3
"YV Takawale","lbw",2
"DJ Thornely","bowled",1
"M Vohra","caught",22
"CH Gayle","caught and bowled",3
"SPD Smith","caught and bowled",3
"KS Williamson","bowled",3
"RA Jadeja","caught",53
"CJ Jordan","caught",2
"BJ Hodge","bowled",9
"M Manhas","run out",3
"Mohammed Siraj","lbw",1
"AUK Pathan","caught",2
"MEK Hussey","lbw",2
"JC Buttler","lbw",3
"CL White","caught",22
"RJ Harris","bowled",2
"JJ Bumrah","caught",2
"RT Ponting","stumped",1
"MC Henriques","caught and bowled",3
"RA Jadeja","bowled",16
"AC Voges","run out",2
"DJM Short","caught",4
"T Henderson","bowled",1
"Y Nagar","run out",2
"LR Shukla","run out",4
"Z Khan","caught",6
"RN ten Doeschate","lbw",5
"PP Chawla","caught",26
"Ishan Kishan","run out",3
"KL Nagarkoti","bowled",2
"M Kaif","caught and bowled",1
"STR Binny","bowled",6
"P Ray Barman","caught",1
"B Chipli","run out",1
"K Rabada","bowled",3
